Experiment	bias spectroscopy	
3.33333E-3	521.375E-12	331.925E-3	25.3975E-3	1.09058E+0	-10.6281E-9
3.32500E-3	519.670E-12	348.306E-3	37.8516E-3	1.09058E+0	-10.6281E-9
3.31667E-3	518.239E-12	392.149E-3	9.88617E-3	1.09057E+0	-10.6281E-9
3.30833E-3	517.041E-12	383.979E-3	10.3254E-3	1.09058E+0	-10.6281E-9
3.30000E-3	516.668E-12	363.450E-3	48.6098E-3	1.09058E+0	-10.6281E-9
3.29167E-3	517.186E-12	341.504E-3	56.6415E-3	1.09058E+0	-10.6281E-9
3.28333E-3	515.408E-12	345.156E-3	4.71273E-3	1.09058E+0	-10.6281E-9
3.27500E-3	513.375E-12	305.298E-3	-72.5095E-3	1.09058E+0	-10.6281E-9
3.26667E-3	513.906E-12	266.076E-3	-55.9573E-3	1.09059E+0	-10.6281E-9
3.25833E-3	510.905E-12	292.895E-3	-11.4139E-3	1.09058E+0	-10.6281E-9
3.25000E-3	509.872E-12	372.083E-3	15.0882E-3	1.09059E+0	-10.6281E-9
3.24167E-3	509.361E-12	370.717E-3	-25.4325E-3	1.09059E+0	-10.6281E-9
3.23333E-3	509.242E-12	307.268E-3	-34.0041E-3	1.09059E+0	-10.6281E-9
3.22500E-3	507.738E-12	304.332E-3	-12.2003E-3	1.09058E+0	-10.6281E-9
3.21667E-3	506.798E-12	346.145E-3	-27.7107E-3	1.09058E+0	-10.6281E-9
3.20833E-3	505.116E-12	355.809E-3	-66.2012E-3	1.09059E+0	-10.6281E-9
3.20000E-3	503.201E-12	321.702E-3	-31.0490E-3	1.09058E+0	-10.6281E-9
3.19167E-3	501.002E-12	335.076E-3	8.67503E-3	1.09058E+0	-10.6281E-9
3.18333E-3	500.321E-12	307.417E-3	6.44552E-3	1.09057E+0	-10.6281E-9
3.17500E-3	498.614E-12	300.077E-3	1.72607E-3	1.09058E+0	-10.6281E-9
3.16667E-3	495.743E-12	313.488E-3	-1.95679E-3	1.09058E+0	-10.6281E-9
3.15833E-3	493.687E-12	318.997E-3	-10.0257E-3	1.09058E+0	-10.6281E-9
3.15000E-3	491.405E-12	306.377E-3	4.82452E-3	1.09058E+0	-10.6281E-9
3.14167E-3	491.177E-12	333.355E-3	60.5256E-3	1.09057E+0	-10.6281E-9
3.13333E-3	489.108E-12	358.775E-3	26.6973E-3	1.09057E+0	-10.6281E-9
3.12500E-3	487.921E-12	362.643E-3	1.66870E-3	1.09056E+0	-10.6281E-9
3.11667E-3	487.083E-12	366.149E-3	9.57001E-3	1.09056E+0	-10.6281E-9
3.10833E-3	484.951E-12	372.592E-3	2.55269E-3	1.09058E+0	-10.6281E-9
3.10000E-3	482.627E-12	405.087E-3	-46.1079E-3	1.09057E+0	-10.6281E-9
3.09167E-3	484.307E-12	401.981E-3	-68.0104E-3	1.09058E+0	-10.6281E-9
3.08333E-3	486.112E-12	388.274E-3	-74.7748E-3	1.09057E+0	-10.6281E-9
3.07500E-3	486.681E-12	356.862E-3	-57.0130E-3	1.09057E+0	-10.6281E-9
3.06667E-3	485.504E-12	349.392E-3	-12.0773E-3	1.09058E+0	-10.6281E-9
3.05833E-3	485.677E-12	348.343E-3	-884.908E-6	1.09057E+0	-10.6281E-9
3.05000E-3	484.951E-12	396.759E-3	-25.8313E-3	1.09058E+0	-10.6281E-9
3.04167E-3	481.390E-12	417.982E-3	-62.2708E-3	1.09058E+0	-10.6281E-9
3.03333E-3	479.354E-12	379.146E-3	-67.3265E-3	1.09057E+0	-10.6281E-9
3.02500E-3	478.708E-12	316.151E-3	-45.4920E-3	1.09057E+0	-10.6281E-9
